city,State,Revenue,Class,Month
New York City,NY,414.43,Yoga 201,6
White Plains,NY,432.32,PiYo,6
New York City,NY,481.01,Yoga 201,6
Syracuse,NY,115.89,Zumba,6
Elizabeth,NJ,225.79,Insanity,6
Buffalo,NY,150.68,Spinning,6
Philadelphia,PA,369.93,Insanity,6
New York City,NY,108.49,Yoga 201,6
Buffalo,NY,359.01,Yoga 201,6
Wilkes Barre,PA,261.25,Spinning,6
Syracuse,NY,217.7,Insanity,6
Buffalo,NY,308.82,Yoga 201,6
Philadelphia,PA,490.7,PiYo,6
New York City,NY,255.51,PiYo,6
Rochester,NY,349.99,Spinning,6
Flushing,NY,423.35,Spinning,6
Bronx,NY,134.43,Yoga 201,6
New York City,NY,351.74,PiYo,6
New York City,NY,148.54,Yoga 101,6
Harrisburg,PA,389.27,PiYo,6
Philadelphia,PA,144.36,Zumba,6
Syracuse,NY,155.32,Insanity,6
Harrisburg,PA,241.29,Insanity,6
New York City,NY,331.35,Yoga 101,6
Syracuse,NY,431.74,Insanity,6
New York City,NY,456.75,Spinning,6
Valley Forge,PA,123.6,Insanity,6
Buffalo,NY,359.29,Zumba,6
Buffalo,NY,177.32,PiYo,6
Elizabeth,NJ,331.92,Spinning,6
Erie,PA,145.1,Zumba,6
Erie,PA,239.15,Yoga 201,6
Newark,NJ,457.45,Yoga 201,6
Staten Island,NY,340.88,PiYo,6
York,PA,459.07,Yoga 101,6
New York City,NY,406.74,Zumba,6
Staten Island,NY,482.19,Zumba,6
New York City,NY,421.16,PiYo,6
Newark,NJ,230.59,Yoga 101,6
Wilkes Barre,PA,399.41,Yoga 201,6
Flushing,NY,348.89,Zumba,6
Albany,NY,423.57,Yoga 101,6
Flushing,NY,156.85,Yoga 201,6
Pittsburgh,PA,331.91,Yoga 101,6
Pittsburgh,PA,363.14,Zumba,6
Johnstown,PA,411.18,PiYo,6
Wilkes Barre,PA,235.15,Insanity,6
Jamaica,NY,239.49,Zumba,6
Erie,PA,194.62,Yoga 101,6
Pittsburgh,PA,326.47,Spinning,6
Jamaica,NY,115.23,PiYo,6
Syracuse,NY,187.49,PiYo,6
Erie,PA,119.56,Yoga 101,6
Pittsburgh,PA,263.06,Insanity,6
Mc Keesport,PA,408.73,Zumba,6
Philadelphia,PA,304.69,Spinning,6
Pittsburgh,PA,458.66,PiYo,6
Harrisburg,PA,477.22,Insanity,6
New York City,NY,208.11,Yoga 201,6
Pittsburgh,PA,340.04,Spinning,6
Mount Vernon,NY,384.7,Insanity,6
Schenectady,NY,465.63,Yoga 101,6
Erie,PA,341.81,Zumba,6
Philadelphia,PA,131.48,Yoga 101,6
New York City,NY,398.89,Zumba,6
Jamaica,NY,440.77,Spinning,6
Erie,PA,469.69,Spinning,6
Pittsburgh,PA,420.55,Yoga 101,6
Rochester,NY,485.08,Insanity,6
Pittsburgh,PA,465.28,Zumba,6
Camden,NJ,121.32,Zumba,6
Buffalo,NY,111.29,Zumba,6
Rochester,NY,439.49,Yoga 201,6
Brooklyn,NY,184.93,Insanity,6
Erie,PA,281.39,Zumba,6
New York City,NY,188.03,Yoga 201,6
Philadelphia,PA,247.92,Yoga 201,6
Trenton,NJ,436.44,Insanity,6
Jamaica,NY,208.68,Yoga 201,6
New York City,NY,260.32,Yoga 201,6
Buffalo,NY,326.05,PiYo,6
Flushing,NY,417.7,Yoga 101,6
Newark,NJ,430.87,Spinning,6
Philadelphia,PA,429.51,Yoga 201,6
Lancaster,PA,368.81,Yoga 201,6
New York City,NY,251.65,Yoga 201,6
Elizabeth,NJ,161.99,Insanity,6
New Hyde Park,NY,440.63,Yoga 101,6
Jamaica,NY,208.03,Yoga 201,6
Pittsburgh,PA,497.66,Insanity,6
Jamaica,NY,375.15,Yoga 101,6
New York City,NY,455.7,Yoga 201,6
Pittsburgh,PA,142.71,Spinning,6
New York City,NY,492.8,Insanity,6
New York City,NY,383.7,Zumba,6
New York City,NY,412.98,PiYo,6
Jamaica,NY,333.97,Yoga 201,6
Flushing,NY,397.61,Yoga 201,6
Buffalo,NY,324.19,Yoga 101,6
Albany,NY,316.97,Spinning,6
Jamaica,NY,465.04,Yoga 201,6
Johnstown,PA,215.67,Spinning,6
New York City,NY,221.87,Zumba,6
New York City,NY,367.96,Yoga 101,6
Rochester,NY,154.01,Spinning,6
Bronx,NY,266.01,PiYo,6
Pittsburgh,PA,413.85,Yoga 101,6
Jamaica,NY,396.38,Zumba,6
Rochester,NY,180.94,Insanity,6
Brooklyn,NY,237.11,Insanity,6
Port Washington,NY,280.11,Yoga 201,6
Syracuse,NY,407.83,Yoga 201,6
New York City,NY,132.08,Spinning,6
Elmira,NY,269.26,PiYo,6
Pittsburgh,PA,412.97,PiYo,6
Jamaica,NY,392.07,Spinning,6
New York City,NY,469.97,PiYo,6
Albany,NY,360.4,Yoga 101,6
New York City,NY,390.11,Insanity,6
Buffalo,NY,392.22,PiYo,6
New York City,NY,488.95,Yoga 201,6
Newark,NJ,312.81,Spinning,6
Flushing,NY,218.8,Zumba,6
Bronx,NY,341.82,Yoga 201,6
New York City,NY,190.93,PiYo,6
New York City,NY,230.92,PiYo,6
New York City,NY,404.75,Yoga 201,6
Albany,NY,463.81,PiYo,6
Philadelphia,PA,151.23,Zumba,6
Syracuse,NY,351.06,Zumba,6
Port Washington,NY,395.11,Yoga 101,6
Philadelphia,PA,496.73,Insanity,6
Syracuse,NY,149.58,Insanity,6
Brooklyn,NY,411.04,Zumba,6
Philadelphia,PA,385.2,Yoga 201,6
New York City,NY,169.83,Insanity,6
Albany,NY,245.26,Zumba,6
Harrisburg,PA,309.47,Insanity,6
Trenton,NJ,430.1,Insanity,6
Trenton,NJ,389.03,PiYo,6
Philadelphia,PA,219.31,Insanity,6
Pittsburgh,PA,135.29,Zumba,6
Jamaica,NY,469.52,Zumba,6
Pittsburgh,PA,159.52,Yoga 101,6
Rochester,NY,430.21,Yoga 101,6
Syracuse,NY,161.55,Insanity,6
New York City,NY,464.94,Yoga 201,6
Erie,PA,257.05,PiYo,6
Valley Forge,PA,356.12,Zumba,6
Harrisburg,PA,184.17,Zumba,6
New York City,NY,172.31,Yoga 201,6
Bethlehem,PA,260.49,Spinning,6
Flushing,NY,266.03,Insanity,6
Trenton,NJ,144.82,Yoga 101,6
Syracuse,NY,320.71,PiYo,6
New York City,NY,154.3,Zumba,6
Albany,NY,427.99,Insanity,6
New York City,NY,154.73,Yoga 101,6
Trenton,NJ,369.97,Zumba,6
Pittsburgh,PA,254.48,Zumba,6
Pittsburgh,PA,212.3,Spinning,6
Philadelphia,PA,487.05,Zumba,6
Pittsburgh,PA,170.68,Spinning,6
Philadelphia,PA,198.24,Yoga 201,6
Brooklyn,NY,454.62,Zumba,6
Harrisburg,PA,190.3,PiYo,6
Harrisburg,PA,494.87,Spinning,6
Pittsburgh,PA,191.32,PiYo,6
Albany,NY,383.52,Yoga 201,6
Philadelphia,PA,209.33,Yoga 201,6
Jamaica,NY,264.34,Insanity,6
New York City,NY,213.81,Insanity,6
Philadelphia,PA,231.62,Yoga 201,6
Philadelphia,PA,220.82,Zumba,6
Harrisburg,PA,475.23,Spinning,6
Pittsburgh,PA,450.72,Yoga 101,6
Trenton,NJ,194.74,Yoga 201,6
Elmira,NY,494.24,Zumba,6
Philadelphia,PA,288.21,Yoga 201,6
New Brunswick,NJ,311.51,PiYo,6
Reading,PA,328.28,Yoga 201,6
Bronx,NY,269.84,PiYo,6
New York City,NY,428.3,Zumba,6
Scranton,PA,249.74,Zumba,6
Brooklyn,NY,255.74,Yoga 101,6
Bronx,NY,240.97,Insanity,6
New York City,NY,136.98,Zumba,6
Flushing,NY,417.54,PiYo,6
New York City,NY,348.11,Yoga 101,6
New York City,NY,437.42,Insanity,6
Trenton,NJ,276.04,Spinning,6
Philadelphia,PA,288.99,Zumba,6
Paterson,NJ,334.34,Yoga 101,6
Pittsburgh,PA,150.42,Insanity,6
New York City,NY,480.76,Zumba,6
Allentown,PA,425.91,Zumba,6
Rochester,NY,362.69,Yoga 101,6
Bronx,NY,423.69,PiYo,6
Paterson,NJ,412.75,Yoga 201,6
Trenton,NJ,370.26,PiYo,6
Flushing,NY,203.44,Yoga 101,6
Philadelphia,PA,133.68,PiYo,6
Rochester,NY,467.9,Yoga 201,6
Albany,NY,417.49,Yoga 101,6
Brooklyn,NY,297.46,Zumba,6
Jamaica,NY,250.28,PiYo,6
Philadelphia,PA,466.45,Yoga 101,6
Pittsburgh,PA,150.27,Insanity,6
Newark,NJ,297.4,PiYo,6
Wilkes Barre,PA,420.46,PiYo,6
New York City,NY,476.38,PiYo,6
Pittsburgh,PA,248.13,Zumba,6
Rochester,NY,331.56,Spinning,6
New York City,NY,367.22,Spinning,6
New Brunswick,NJ,129.91,Insanity,6
Wilkes Barre,PA,277.49,Zumba,6
Rochester,NY,342.7,Zumba,6
Buffalo,NY,390.49,PiYo,6
Scranton,PA,321.3,Insanity,6
Trenton,NJ,466.16,Insanity,6
Brooklyn,NY,326.63,Insanity,6
Harrisburg,PA,279.55,PiYo,6
New York City,NY,326.82,Insanity,6
Erie,PA,417.64,Insanity,6
Buffalo,NY,375.02,PiYo,6
Philadelphia,PA,237.84,PiYo,6
Rochester,NY,139.54,PiYo,6
Philadelphia,PA,139.25,Zumba,6
Brooklyn,NY,388.06,Spinning,6
Syracuse,NY,395.88,Zumba,6
Erie,PA,371.67,PiYo,6
New York City,NY,412.73,Yoga 201,6
Pittsburgh,PA,128.34,Zumba,6
Buffalo,NY,340.56,Zumba,6
Allentown,PA,495.15,Insanity,6
Port Washington,NY,232.24,Spinning,6
Erie,PA,279.48,Insanity,6
Mount Vernon,NY,329.42,Yoga 101,6
Schenectady,NY,472.62,Spinning,6
New Brunswick,NJ,238.02,Zumba,6
Jamaica,NY,307.22,Yoga 101,6
Brooklyn,NY,340.06,PiYo,6
Albany,NY,342.59,Yoga 201,6
Philadelphia,PA,461.29,Zumba,6
Brooklyn,NY,314.05,Yoga 101,6
Albany,NY,193.97,Insanity,6
Brooklyn,NY,434.38,Yoga 101,6
Brooklyn,NY,298.4,Spinning,6
Reading,PA,452.82,Yoga 201,6
Jamaica,NY,367.27,Zumba,6
Philadelphia,PA,276.02,Yoga 201,6
New York City,NY,286.61,Insanity,6
Pittsburgh,PA,171.14,Insanity,6
Trenton,NJ,116.47,Zumba,6
New York City,NY,323.15,Insanity,6
Trenton,NJ,360.09,Spinning,6
Trenton,NJ,131.9,PiYo,6
Buffalo,NY,154.71,Spinning,6
Trenton,NJ,481.76,Yoga 101,6
Bronx,NY,219.79,PiYo,6
Rochester,NY,451.78,Yoga 101,6
Yonkers,NY,358.49,PiYo,6
Staten Island,NY,268.51,Zumba,6
Pittsburgh,PA,458.97,PiYo,6
Philadelphia,PA,132.48,Yoga 101,6
New York City,NY,466.29,Insanity,6
Erie,PA,445.06,Zumba,6
Philadelphia,PA,298.14,Zumba,6
Buffalo,NY,251.48,Spinning,6
Trenton,NJ,130.59,Yoga 101,6
Trenton,NJ,284.1,Yoga 201,6
Philadelphia,PA,186.71,Insanity,6
New York City,NY,170.62,Yoga 101,6
Philadelphia,PA,182.22,PiYo,6
Pittsburgh,PA,405.07,Insanity,6
Staten Island,NY,149,Insanity,6
Rochester,NY,118.76,Spinning,6
Johnstown,PA,119.94,PiYo,6
Jamaica,NY,474,Insanity,6
New York City,NY,284.89,Yoga 101,6
Jamaica,NY,255.67,Yoga 101,6
Utica,NY,263.4,Spinning,6
Erie,PA,403.74,Yoga 201,6
Brooklyn,NY,496.09,Zumba,6
Philadelphia,PA,271.68,Yoga 201,6
Rochester,NY,348.36,Insanity,6
Reading,PA,340.92,Spinning,6
Buffalo,NY,209.6,PiYo,6
Philadelphia,PA,468.37,Yoga 201,6
Elmira,NY,364.85,PiYo,6
New York City,NY,161.59,Yoga 101,6
Mount Vernon,NY,489.72,Yoga 101,6
Rochester,NY,432.71,Zumba,6
Bethlehem,PA,438.25,Insanity,6
Pittsburgh,PA,355.92,Spinning,6
Paterson,NJ,447.38,Insanity,6
Buffalo,NY,106.75,Yoga 201,6
Bronx,NY,453.16,PiYo,6
New York City,NY,162.1,Spinning,6
Erie,PA,167.54,Zumba,6
Harrisburg,PA,471.32,Spinning,6
New York City,NY,341.24,Yoga 101,6
Philadelphia,PA,317.43,Zumba,6
Brooklyn,NY,112.8,Yoga 201,6
Philadelphia,PA,326.9,PiYo,6
Harrisburg,PA,235.52,Yoga 101,6
Wilkes Barre,PA,326.21,Yoga 201,6
New York City,NY,155.19,Yoga 201,6
Flushing,NY,425.42,Yoga 101,6
Jamaica,NY,231.38,Insanity,6
New York City,NY,482.07,Spinning,6
New York City,NY,259.77,Insanity,6
New York City,NY,457.47,Yoga 101,6
New York City,NY,476.19,Insanity,6
New York City,NY,217.68,Yoga 101,6
New York City,NY,164.62,Yoga 101,6
Jamaica,NY,288.36,Zumba,6
Philadelphia,PA,392.79,Insanity,6
Pittsburgh,PA,101.58,Yoga 201,6
New York City,NY,109.04,Zumba,6
Flushing,NY,397.46,Yoga 201,6
Pittsburgh,PA,441.8,Yoga 101,6
Wilkes Barre,PA,250.56,Yoga 101,6
Bronx,NY,320.77,Zumba,6
Bronx,NY,393.39,Yoga 101,6
Philadelphia,PA,221.58,Yoga 101,6
New York City,NY,184.95,Insanity,6
Rochester,NY,418.52,Yoga 101,6
Philadelphia,PA,411.17,Yoga 101,6
Buffalo,NY,185.64,Yoga 101,6
New York City,NY,274.24,Yoga 101,6
White Plains,NY,323.31,Zumba,6
Erie,PA,340.97,Spinning,6
Allentown,PA,129.51,PiYo,6
New York City,NY,471.9,Zumba,6
Rochester,NY,210.41,Zumba,6
Syracuse,NY,181.86,Spinning,6
Buffalo,NY,143.23,Yoga 101,6
Philadelphia,PA,484.45,Spinning,6
Buffalo,NY,466.74,Spinning,6
Bethlehem,PA,204.13,Spinning,6
Philadelphia,PA,497.88,Yoga 201,6
Philadelphia,PA,330.27,PiYo,6
Pittsburgh,PA,335.45,PiYo,6
New York City,NY,234.86,Spinning,6
Brooklyn,NY,217,Yoga 101,6
New Hyde Park,NY,163.17,Spinning,6
Rochester,NY,154.66,Zumba,6
Reading,PA,136.1,Insanity,6
Trenton,NJ,143.2,Zumba,6
Albany,NY,487.78,Insanity,6
Levittown,PA,258.33,Zumba,6
Rochester,NY,159.4,PiYo,6
New York City,NY,319.31,Yoga 201,6
Mc Keesport,PA,461.27,Zumba,6
Albany,NY,440.87,Yoga 201,6
Harrisburg,PA,344.88,Spinning,6
Philadelphia,PA,101.06,Yoga 101,7
Rochester,NY,476.74,Insanity,7
New York City,NY,374.25,Yoga 201,7
Trenton,NJ,300.94,Yoga 101,7
Pittsburgh,PA,143.77,Yoga 101,7
Jamaica,NY,163.96,Insanity,7
Rochester,NY,219.52,Spinning,7
Erie,PA,161.47,PiYo,7
Albany,NY,146.25,Zumba,7
Albany,NY,307.83,Yoga 101,7
Rochester,NY,240.76,PiYo,7
Schenectady,NY,317.29,Spinning,7
Pittsburgh,PA,124.21,Yoga 201,7
Bronx,NY,468.9,Spinning,7
Philadelphia,PA,282.4,Zumba,7
Philadelphia,PA,156.12,Yoga 201,7
Pittsburgh,PA,212.51,Zumba,7
Buffalo,NY,301.56,Yoga 201,7
Erie,PA,374.7,Insanity,7
Paterson,NJ,489.41,Zumba,7
Pittsburgh,PA,139.34,Insanity,7
Levittown,PA,158.51,Yoga 201,7
Philadelphia,PA,327.58,Insanity,7
Trenton,NJ,419.31,PiYo,7
Erie,PA,170.87,Insanity,7
New York City,NY,343.09,Yoga 201,7
Brooklyn,NY,428.27,Yoga 201,7
New York City,NY,238.15,Yoga 201,7
Great Neck,NY,241.15,Spinning,7
Rochester,NY,377.11,PiYo,7
Philadelphia,PA,281.9,Insanity,7
Philadelphia,PA,321.74,Zumba,7
Reading,PA,258.37,Spinning,7
New Castle,PA,242.7,Zumba,7
Brooklyn,NY,409.31,Yoga 101,7
Mc Keesport,PA,367.81,Yoga 201,7
Newark,NJ,292.34,PiYo,7
Philadelphia,PA,294.51,PiYo,7
New York City,NY,112.5,PiYo,7
Wilkes Barre,PA,284.92,Zumba,7
Rochester,NY,123.28,Spinning,7
Brooklyn,NY,196.18,Insanity,7
Pittsburgh,PA,496.42,Spinning,7
Syracuse,NY,166.23,Yoga 201,7
Wilkes Barre,PA,476.44,Insanity,7
Buffalo,NY,377.55,Spinning,7
Pittsburgh,PA,186.94,Yoga 101,7
Mc Keesport,PA,399.01,Yoga 201,7
Philadelphia,PA,290.23,Yoga 101,7
New York City,NY,384.39,Spinning,7
Jamaica,NY,457.75,Yoga 101,7
Jamaica,NY,176.18,Yoga 101,7
Wilkes Barre,PA,429.05,Spinning,7
Albany,NY,211.72,Spinning,7
Flushing,NY,350.91,Insanity,7
Rochester,NY,327.42,Zumba,7
Valley Forge,PA,190.77,Yoga 201,7
Trenton,NJ,493.26,Yoga 101,7
Reading,PA,207.71,Zumba,7
New York City,NY,402.85,Yoga 101,7
Philadelphia,PA,363.56,Yoga 201,7
Philadelphia,PA,182.43,Spinning,7
Rochester,NY,133.22,Zumba,7
Albany,NY,103.65,Yoga 201,7
Buffalo,NY,267.25,Yoga 201,7
Philadelphia,PA,360.84,Zumba,7
Port Washington,NY,293.83,PiYo,7
Philadelphia,PA,168.01,Yoga 201,7
Buffalo,NY,325.23,Zumba,7
Pittsburgh,PA,164.76,Yoga 201,7
Elizabeth,NJ,152.52,Yoga 201,7
Valley Forge,PA,428.11,Spinning,7
New York City,NY,305.08,Zumba,7
Lancaster,PA,114.51,Yoga 201,7
Philadelphia,PA,289.14,Yoga 101,7
Newark,NJ,470.02,Yoga 101,7
Harrisburg,PA,292.37,Zumba,7
Philadelphia,PA,114.88,Spinning,7
Erie,PA,246.58,Insanity,7
Syracuse,NY,187.39,Spinning,7
Albany,NY,115.44,Zumba,7
New York City,NY,321.47,Zumba,7
Paterson,NJ,223.37,Zumba,7
Jamaica,NY,304.94,Insanity,7
New York City,NY,229.66,Insanity,7
New Brunswick,NJ,146.59,Yoga 101,7
Pittsburgh,PA,477.54,Yoga 101,7
Jersey City,NJ,265.57,Yoga 201,7
Pittsburgh,PA,322.86,Spinning,7
Pittsburgh,PA,364.26,Yoga 101,7
Trenton,NJ,177.67,Spinning,7
Bethlehem,PA,128.11,PiYo,7
Trenton,NJ,459.19,Yoga 101,7
Valley Forge,PA,392.94,Yoga 201,7
Pittsburgh,PA,146.31,Yoga 201,7
New York City,NY,278.69,Yoga 201,7
Wilkes Barre,PA,242.36,Yoga 201,7
New York City,NY,247.95,Spinning,7
Brooklyn,NY,329.91,Yoga 101,7
Pittsburgh,PA,244.71,Zumba,7
Elizabeth,NJ,186.59,Zumba,7
New York City,NY,344.88,Zumba,7
New York City,NY,322.67,Insanity,7
Trenton,NJ,343.61,Zumba,7
Erie,PA,409,Yoga 101,7
Lancaster,PA,276.67,Yoga 201,7
Philadelphia,PA,375.52,Spinning,7
Albany,NY,350.79,PiYo,7
New York City,NY,440.92,Zumba,7
White Plains,NY,489.5,Spinning,7
Brooklyn,NY,139.37,Zumba,7
Buffalo,NY,404.58,PiYo,7
Rochester,NY,441.15,Yoga 101,7
Jamaica,NY,393.97,Yoga 201,7
Paterson,NJ,262.16,Spinning,7
Flushing,NY,242.69,Zumba,7
Pittsburgh,PA,389.43,PiYo,7
New York City,NY,451.02,Insanity,7
Pittsburgh,PA,156.45,Yoga 101,7
Erie,PA,379.08,PiYo,7
White Plains,NY,319.27,Spinning,7
Newark,NJ,456.1,Yoga 101,7
Bronx,NY,185.46,Insanity,7
Brooklyn,NY,124.52,PiYo,7
Brooklyn,NY,495.36,Zumba,7
Staten Island,NY,339.07,PiYo,7
Pittsburgh,PA,160.71,Yoga 101,7
Syracuse,NY,265.34,Yoga 101,7
New York City,NY,264.23,Spinning,7
Newark,NJ,243.13,Insanity,7
Syracuse,NY,123.41,Zumba,7
Yonkers,NY,461.14,Zumba,7
Jamaica,NY,108.59,Yoga 101,7
New York City,NY,269.96,PiYo,7
Flushing,NY,167.82,Yoga 101,7
Port Washington,NY,222.7,Zumba,7
Philadelphia,PA,482.46,Spinning,7
Yonkers,NY,461.86,Spinning,7
Levittown,PA,455.07,Yoga 101,7
New York City,NY,204,Yoga 101,7
Bronx,NY,457.27,Yoga 201,7
Trenton,NJ,121.45,Yoga 101,7
Philadelphia,PA,420.74,PiYo,7
Johnstown,PA,162.19,Yoga 101,7
Wilkes Barre,PA,282.38,Yoga 101,7
New Brunswick,NJ,453.59,Zumba,7
New York City,NY,131.37,Yoga 101,7
Bronx,NY,370.86,Zumba,7
Albany,NY,337.48,Zumba,7
Philadelphia,PA,217.83,Yoga 201,7
New York City,NY,304.95,Spinning,7
Pittsburgh,PA,152.15,Yoga 201,7
Albany,NY,366.36,Spinning,7
Pittsburgh,PA,151.15,Yoga 101,7
New York City,NY,122.2,Yoga 201,7
New York City,NY,486.05,Yoga 201,7
Philadelphia,PA,207.24,Yoga 201,7
Utica,NY,132.59,Yoga 201,7
Erie,PA,319.7,PiYo,7
Erie,PA,116.69,Yoga 201,7
New York City,NY,122.89,Insanity,7
Buffalo,NY,157.75,Spinning,7
New York City,NY,405.31,Zumba,7
Trenton,NJ,375.12,Spinning,7
Schenectady,NY,479.21,Zumba,7
Brooklyn,NY,261.05,Insanity,7
Erie,PA,120.79,PiYo,7
New York City,NY,171.6,Spinning,7
Pittsburgh,PA,433.37,PiYo,7
Jersey City,NJ,270.62,Yoga 201,7
Erie,PA,361.31,Insanity,7
Levittown,PA,420.55,Spinning,7
Philadelphia,PA,309.71,Zumba,7
Erie,PA,493.85,Yoga 201,7
Erie,PA,270.25,PiYo,7
Paterson,NJ,367.09,Zumba,7
Trenton,NJ,269.15,Insanity,7
Harrisburg,PA,102.37,PiYo,7
Philadelphia,PA,131.07,Spinning,7
Elmira,NY,161.77,Yoga 201,7
Pittsburgh,PA,482.17,Yoga 101,7
Philadelphia,PA,251.51,Insanity,7
Philadelphia,PA,351.59,PiYo,7
Albany,NY,135.56,PiYo,7
Staten Island,NY,317.92,Yoga 101,7
Schenectady,NY,128.03,Spinning,7
New York City,NY,371.46,Insanity,7
New York City,NY,146.94,Yoga 101,7
Levittown,PA,290.84,Yoga 201,7
New Hyde Park,NY,499.26,PiYo,7
New York City,NY,239.34,Spinning,7
New Hyde Park,NY,322.38,PiYo,7
Port Washington,NY,226.2,Spinning,7
Newark,NJ,255.29,Zumba,7
Albany,NY,280.76,PiYo,7
Trenton,NJ,444.72,Insanity,7
Harrisburg,PA,256.63,PiYo,7
Erie,PA,165.1,Insanity,7
New York City,NY,255.4,Yoga 201,7
Pittsburgh,PA,330.46,Yoga 101,7
Newark,NJ,440.32,Yoga 201,7
Buffalo,NY,427.06,Yoga 101,7
New York City,NY,159.14,PiYo,7
Brooklyn,NY,348.73,Yoga 101,7
Trenton,NJ,168.76,Yoga 101,7
Jamaica,NY,397.69,Yoga 201,7
Pittsburgh,PA,491.15,Zumba,7
Trenton,NJ,271.75,Yoga 101,7
Brooklyn,NY,417.18,Yoga 201,7
Schenectady,NY,380.3,Zumba,7
Pittsburgh,PA,163.81,Insanity,7
Philadelphia,PA,400.19,Zumba,7
Pittsburgh,PA,408.64,Yoga 101,7
Trenton,NJ,378.04,Yoga 201,7
New York City,NY,433.88,PiYo,7
Philadelphia,PA,237.25,Spinning,7
Camden,NJ,349.53,Insanity,7
Staten Island,NY,204.92,Yoga 101,7
Philadelphia,PA,160.07,Insanity,7
Pittsburgh,PA,154.32,Zumba,7
Trenton,NJ,299.23,Spinning,7
Syracuse,NY,405.32,Yoga 201,7
Philadelphia,PA,206.92,Spinning,7
Erie,PA,127.49,Yoga 101,7
Albany,NY,205.76,Insanity,7
Elizabeth,NJ,400.47,PiYo,7
Philadelphia,PA,209.17,Zumba,7
New York City,NY,357.73,Insanity,7
New York City,NY,457.88,PiYo,7
Trenton,NJ,306.01,Zumba,7
Syracuse,NY,127.12,Spinning,7
Staten Island,NY,432.06,Insanity,7
Brooklyn,NY,116.65,Zumba,7
Rochester,NY,141.46,Yoga 201,7
Elizabeth,NJ,297.11,Insanity,7
Erie,PA,169.65,Zumba,7
New York City,NY,482.94,Zumba,7
Erie,PA,122.78,Insanity,7
Newark,NJ,166.46,PiYo,7
Jamaica,NY,181.79,Yoga 101,7
Bronx,NY,302.27,Yoga 201,7
Buffalo,NY,265.49,Zumba,7
Harrisburg,PA,438.29,Insanity,7
Syracuse,NY,197.02,Spinning,7
New York City,NY,261.51,Zumba,7
Philadelphia,PA,391.52,Insanity,7
Elizabeth,NJ,209.5,Yoga 101,7
Erie,PA,455.58,Insanity,7
Jamaica,NY,270.23,Spinning,7
Bronx,NY,241.15,Yoga 101,7
Pittsburgh,PA,300.42,Insanity,7
Jamaica,NY,396.42,Insanity,7
New York City,NY,478.84,Insanity,7
Mc Keesport,PA,378.78,Insanity,7
Albany,NY,140.94,Zumba,7
Albany,NY,349.44,PiYo,7
New York City,NY,145.43,Yoga 201,7
Albany,NY,288.6,PiYo,7
Albany,NY,331.74,Yoga 101,7
Bronx,NY,335.42,PiYo,7
New York City,NY,120.78,Insanity,7
New York City,NY,174.87,Insanity,7
New York City,NY,475.79,PiYo,7
Newark,NJ,390.39,Yoga 201,7
Lancaster,PA,343.56,Yoga 201,7
Pittsburgh,PA,198.15,Spinning,7
Rochester,NY,196.34,Insanity,7
Albany,NY,203.96,Spinning,7
Staten Island,NY,493.19,Yoga 101,7
Syracuse,NY,440.18,Yoga 101,7
Philadelphia,PA,366.46,Yoga 201,7
Newark,NJ,489.75,Zumba,7
Albany,NY,237.54,PiYo,7
Philadelphia,PA,445.62,Yoga 101,7
Philadelphia,PA,162.71,Zumba,7
Philadelphia,PA,176.11,PiYo,7
Philadelphia,PA,210.77,Yoga 101,7
New Hyde Park,NY,135.06,Yoga 201,7
Brooklyn,NY,292.74,Yoga 201,7
Jamaica,NY,387.35,Yoga 101,7
Rochester,NY,409.13,Yoga 101,7
Rochester,NY,209.61,Insanity,7
New York City,NY,220.26,PiYo,7
Newark,NJ,464.47,Insanity,7
Pittsburgh,PA,185.96,Insanity,7
Syracuse,NY,122.35,Yoga 201,7
Pittsburgh,PA,400.78,PiYo,7
Pittsburgh,PA,407.41,Yoga 101,7
New York City,NY,350.29,Spinning,7
New York City,NY,248.12,Yoga 201,7
Albany,NY,215.73,Spinning,7
Philadelphia,PA,147.28,Insanity,7
New York City,NY,380.42,Spinning,7
Paterson,NJ,155.05,Spinning,7
New York City,NY,335.16,PiYo,7
New York City,NY,246.74,Yoga 201,7
Jamaica,NY,261.82,Yoga 201,7
Albany,NY,395.08,Spinning,7
Lancaster,PA,327.96,PiYo,7
Jamaica,NY,333.43,PiYo,7
Buffalo,NY,263.3,Yoga 201,7
Rochester,NY,271.92,Insanity,7
Erie,PA,450.25,PiYo,7
Philadelphia,PA,349.3,Zumba,7
New York City,NY,189.4,Yoga 101,7
New York City,NY,392.7,Spinning,7
Philadelphia,PA,190.4,Zumba,7
Philadelphia,PA,334.19,Yoga 201,7
Philadelphia,PA,253.99,PiYo,7
Philadelphia,PA,206.9,Insanity,7
Jamaica,NY,230.62,Yoga 201,7
Elizabeth,NJ,423.34,Insanity,7
New York City,NY,450.95,Yoga 201,7
Staten Island,NY,452.09,Zumba,7
New York City,NY,161.56,Yoga 201,7
White Plains,NY,466.92,Yoga 101,7
Syracuse,NY,200.48,Insanity,7
Jamaica,NY,156.64,Zumba,7
Scranton,PA,132.46,Spinning,7
Albany,NY,205.37,Yoga 101,7
Jamaica,NY,450.05,Insanity,7
Scranton,PA,292.58,Yoga 201,7
Rochester,NY,365.21,Insanity,7
Schenectady,NY,286.39,Zumba,7
Brooklyn,NY,194.74,Insanity,7
